Institution Name,Cert,FIN,Location,Effective Date,Ins. Fund,Transaction Type,Charter Class,Failure / Assistance,Total Deposits,Total Assets,Estimated Loss,City,ST,Acquiring Institution,lat,lng
SHERMAN COUNTY BANK,5431,10039,"LOUP CITY, NE",2/13/2009,DIF,PA ,NM ,FAILURE,"90,647","135,431","42,684",Loup City,NE,Heritage Bank,41.275565,-98.966753
CORN BELT BANK AND TRUST COMPANY,16500,10037,"PITTSFIELD, IL",2/13/2009,DIF,PA ,NM ,FAILURE,"233,788","260,201","81,225",Pittsfield,IL,The Carlinville National Bank,39.607825,-90.805129
COUNTY BANK,22574,10034,"MERCED, CA",2/6/2009,DIF,PA ,SM ,FAILURE,"1,324,635","1,711,552","63,661",Merced,CA,Westamerica Bank,37.302163,-120.482968
ALLIANCE BANK,23124,10035,"CULVER CITY, CA",2/6/2009,DIF,PA ,NM ,FAILURE,"951,106","1,113,361","122,733",Culver City,CA,California Bank & Trust,34.021122,-118.396466
FIRSTBANK FINANCIAL SERVICES,57017,10036,"MCDONOUGH, GA",2/6/2009,DIF,PA ,NM ,FAILURE,"279,308","317,237","152,700",McDonough,GA,Regions Bank,33.447336,-84.146862
SUBURBAN FEDERAL SAVINGS BANK,30763,10033,"CROFTON, MD",1/30/2009,DIF,PA ,SB ,FAILURE,"301,847","347,408","73,819",Crofton,MD,Bank of Essex,39.001777,-76.687467
OCALA NATIONAL BANK,26538,10032,"OCALA, FL",1/30/2009,DIF,PA ,N ,FAILURE,"204,663","219,424","93,986",Ocala,FL,"CenterState Bank of Florida, N.A.",29.187199,-82.140092
MAGNET BANK,58001,10031,"SALT LAKE CITY, UT",1/30/2009,DIF,PO ,NM ,FAILURE,"282,578","300,674","170,819",Salt Lake City,UT,No Acquirer,40.760779,-111.891047
1ST CENTENNIAL BANK,33025,10030,"REDLANDS, CA",1/23/2009,DIF,PI ,NM ,FAILURE,"678,570","797,959","137,245",Redlands,CA,First California Bank,34.055569,-117.182538
BANK OF CLARK COUNTY,34959,10029,"VANCOUVER, WA",1/16/2009,DIF,PI ,NM ,FAILURE,"377,506","441,085","150,072",Vancouver,WA,Umpqua Bank,45.63184,-122.671606
NATIONAL BANK OF COMMERCE,19733,10028,"BERKELEY, IL",1/16/2009,DIF,PA ,N ,FAILURE,"395,868","419,741","80,836",Berkeley,IL,Republic Bank of Chicago,41.888919,-87.903396
SANDERSON STATE BANK,11568,10026,"SANDERSON, TX",12/12/2008,DIF,PA ,NM ,FAILURE,"32,012","38,217","8,092",Sanderson,TX,The Pecos County State Bank,30.142408,-102.394032
HAVEN TRUST BANK,35379,10027,"DULUTH, GA",12/12/2008,DIF,PA ,NM ,FAILURE,"489,692","559,551","248,360",Duluth,GA,"Branch Banking & Trust Company, (BB&T)",34.002879,-84.144638
FIRST GEORGIA COMMUNITY BANK,34301,10025,"JACKSON, GA",12/5/2008,DIF,PA ,SM ,FAILURE,"215,287","256,371","87,857",Jackson,GA,United Bank,33.294565,-83.966021
THE COMMUNITY BANK,16490,10022,"LOGANVILLE, GA",11/21/2008,DIF,PA ,NM ,FAILURE,"603,733","634,901","334,604",Loganville,GA,Bank of Essex,33.838998,-83.900738
"DOWNEY SAVINGS AND LOAN ASSOCIATION, F.A.",30968,10023,"NEWPORT BEACH, CA",11/21/2008,DIF,PA ,SB ,FAILURE,"9,653,169","12,779,371","189,333",Newport Beach,CA,"U.S. Bank, N.A.",33.618883,-117.929849
PFF BANK & TRUST,28344,10024,"POMONA, CA",11/21/2008,DIF,PA ,SB ,FAILURE,"2,393,845","3,715,433","299,765",Pomona,CA,"U.S. Bank, N.A.",34.055103,-117.749991
SECURITY PACIFIC BANK,23595,10020,"SAN DIEGO, CA",11/7/2008,DIF,PA ,NM ,FAILURE,"456,472","527,959","150,685",Los Angeles,CA,Pacific Western Bank,34.052234,-118.243685
"FRANKLIN BANK, SSB",26870,10021,"HOUSTON, TX",11/7/2008,DIF,PA ,SB ,FAILURE,"3,692,887","5,089,260","685,863",Houston,TX,Prosperity Bank,29.760427,-95.369803
FREEDOM BANK,57930,10019,"BRADENTON, FL",10/31/2008,DIF,PA ,NM ,FAILURE,"256,793","270,842","114,043",Bradenton,FL,Fifth Third Bank,27.498928,-82.574819
ALPHA BANK & TRUST,58241,10018,"ALPHARETTA, GA",10/24/2008,DIF,PI ,NM ,FAILURE,"344,231","354,090","213,214",Alpharetta,GA,"Stearns Bank, N.A.",34.075376,-84.29409
MAIN STREET BANK,57654,10016,"NORTHVILLE, MI",10/10/2008,DIF,PA ,NM ,FAILURE,"98,934","112,368","56,318",Northville,MI,Monroe Bank & Trust,42.431146,-83.483269
MERIDIAN BANK,13789,10017,"ELDRED, IL",10/10/2008,DIF,PA ,NM ,FAILURE,"36,090","38,223","16,618",Eldred,IL,National Bank,39.287548,-90.552344
WASHINGTON MUTUAL BANK,32633,10015,"HENDERSON, NV",9/25/2008,DIF,PA ,SB ,FAILURE,"188,260,793","307,021,614",0,Henderson,NV,JP Morgan Chase Bank,36.039525,-114.981721
"AMERIBANK, INC.",6782,10014,"NORTHFORK, WV",9/19/2008,DIF,PA ,SB ,FAILURE,"100,901","103,965","38,290",Northfork,WV,"The Citizens Savings Bank, Pioneer Community Bank, Inc.",37.420948,-81.440103
SILVER STATE BANK,34194,10013,"HENDERSON, NV",9/5/2008,DIF,PI ,NM ,FAILURE,"1,733,091","1,957,120","715,819",Henderson,NV,Nevada State Bank,36.039525,-114.981721
INTEGRITY BANK,35469,10012,"ALPHARETTA, GA",8/29/2008,DIF,PA ,NM ,FAILURE,"962,456","1,107,514","467,888",Alpharetta,GA,Regions Bank,34.075376,-84.29409
THE COLUMBIAN BANK AND TRUST COMPANY,22728,10011,"TOPEKA, KS",8/22/2008,DIF,PI ,NM ,FAILURE,"620,354","735,071","334,832",Topeka,KS,Citizens Bank & Trust,39.055824,-95.689018
FIRST PRIORITY BANK,57523,10010,"BRADENTON, FL",8/1/2008,DIF,PI ,NM ,FAILURE,"226,698","258,610","95,555",Bradenton,FL,SunTrust Bank,27.498928,-82.574819
FIRST NATIONAL BANK OF NEVADA,27011,10008,"RENO, NV",7/25/2008,DIF,PA ,N ,FAILURE,"3,038,053","3,411,145","719,291",Reno,NV,Mutual of Omaha Bank,39.529633,-119.813803
FIRST HERITAGE BANK N.A.,57961,10009,"NEWPORT BEACH, CA",7/25/2008,DIF,PA ,N ,FAILURE,"234,812","255,376","92,139",Newport Beach,CA,Mutual of Omaha Bank,33.618883,-117.929849
INDYMAC BANK F.S.B,29730,10007,"PASADENA, CA",7/11/2008,DIF,PI*,SB ,FAILURE,"18,941,727","30,698,512","12,380,894",Pasadena,CA,"OneWest Bank, FSB",34.147785,-118.144516
"FIRST INTEGRITY BANK, N.A.",12736,10006,"STAPLES, MN",5/30/2008,DIF,PA ,N ,FAILURE,"50,178","52,916","10,305",Staples,MN,First International Bank and Trust,46.355716,-94.794844
ANB FINANCIAL NATIONAL ASSOCIATION,33901,10005,"BENTONVILLE, AR",5/9/2008,DIF,PI ,N ,FAILURE,"1,815,691","1,895,545","1,030,148",Bentonville,AR,Pulaski Bank and Trust Company,36.372854,-94.208817
HUME BANK,1971,10004,"HUME, MO",3/7/2008,DIF,PI ,NM ,FAILURE,"13,566","18,682","3,982",Hume,MO,Security Bank,38.090031,-94.583844
DOUGLASS NATIONAL BANK,24660,10003,"KANSAS CITY, MO",1/25/2008,DIF,PA ,N ,FAILURE,"50,250","52,824","7,157",Kansas City,MO,Liberty Bank and Trust Company,39.099727,-94.578567
MIAMI VALLEY BANK,16848,10002,"LAKEVIEW, OH",10/4/2007,DIF,PI ,NM ,FAILURE,"119,601","125,362","28,394",Lakeview,OH,The Citizens Banking Company,40.484772,-83.922995
NETBANK,32575,10001,"ALPHARETTA, GA",9/28/2007,DIF,PI ,SB ,FAILURE,"2,290,046","2,473,806","123,453",Alpharetta,GA,ING DIRECT,34.075376,-84.29409
METROPOLITAN SAVINGS BANK,35353,10000,"PITTSBURGH, PA",2/2/2007,DIF,PI ,SB ,FAILURE,"14,540","15,760","9,438",Pittsburgh,PA,Allegheny Valley Bank of Pittsburgh,40.440625,-79.995886
BANK OF EPHRAIM,1249,4665,"EPHRAIM, UT",6/25/2004,BIF,PI ,SM ,FAILURE,"52,329","56,774","2,998",Ephraim,UT,Far West Bank,39.359684,-111.586305
RELIANCE BANK,26778,4664,"WHITE PLAINS, NY",3/19/2004,BIF,PA ,NM ,FAILURE,"27,881","28,637",919,White Plains,NY,Union State Bank,41.033986,-73.76291
GUARANTY NATIONAL BANK,26838,4663,"TALLAHASSEE, FL",3/12/2004,BIF,PA ,N ,FAILURE,"65,614","71,280",0,Tallahassee,FL,Hancock Bank of Florida,30.438256,-84.280733
DOLLAR SAVINGS BANK,31330,6006,"NEWARK, NJ",2/14/2004,SAIF,PO ,SB ,FAILURE,"10,909","13,408",0,Newark,NJ,No Acquirer,40.735657,-74.172367
PULASKI SAVINGS BANK,27203,4662,"PHILADELPHIA, PA",11/14/2003,BIF,PA ,SB ,FAILURE,"9,058","8,487",679,Philadelphia,PA,Earthstar Bank,39.952584,-75.165222
THE FIRST NATIONAL BANK OF BLANCHARDVILLE,11639,4661,"BLANCHARDVILLE, WI",5/9/2003,BIF,PI ,N ,FAILURE,"28,760","34,536","12,788",Blanchardville,WI,The Park Bank,42.810279,-89.862068
SOUTHERN PACIFIC BANK,27094,4660,"TORRANCE, CA",2/7/2003,BIF,PI ,NM ,FAILURE,"864,160","904,294","49,179",Torrance,CA,Beal Bank,33.835849,-118.340629
THE FARMERS BANK & TRUST OF CHENEYVILLE,16445,4659,"CHENEYVILLE, LA",12/17/2002,BIF,PI ,NM ,FAILURE,"32,103","35,317","12,205",Cheneyville,LA,Sabine State Bank & Trust,31.014913,-92.287352
BANK OF ALAMO,9961,4658,"ALAMO, TN",11/8/2002,BIF,PO ,NM ,FAILURE,"52,157","58,454","9,316",Alamo,TN,No Acquirer,35.784795,-89.117288
AMTRADE INTERNATIONAL BANK OF GEORGIA,33784,4657,"ATLANTA, GA",9/30/2002,BIF,PO ,SM ,FAILURE,"73,205","92,144","1,326",Atlanta,GA,No Acquirer,33.748995,-84.387982
UNIVERSAL FSB,29355,6005,"CHICAGO, IL",6/27/2002,SAIF,PI ,SB ,FAILURE,"40,340","51,628",274,Chicago,IL,Chicago Community Bank,41.878114,-87.629798
CONNECTICUT BANK OF COMMERCE,19183,4656,"STAMFORD, CT",6/26/2002,BIF,PI ,NM ,FAILURE,"344,416","384,172","53,784",Stamford,CT,Hudson United Bank,41.05343,-73.538734
NEW CENTURY BANK,34979,4655,"SHELBY TOWNSHIP, MI",3/28/2002,BIF,PO ,SM ,FAILURE,"18,902","21,091","4,440",Shelby Township,MI,No Acquirer,42.670782,-83.032993
NEXTBANK,22314,4653,"PHOENIX, AZ",2/7/2002,BIF,PO ,N ,FAILURE,"551,297","700,180","164,047",Phoenix,AZ,No Acquirer,33.448377,-112.074037
OAKWOOD DEPOSIT BANK,8966,4652,"OAKWOOD, OH",2/1/2002,BIF,PI ,SM ,FAILURE,"60,168","72,267","63,600",Oakwood,OH,The State Bank & Trust Company,39.725337,-84.174106
BANK OF SIERRA BLANCA,22002,4651,"SIERRA BLANCA, TX",1/18/2002,BIF,PI ,NM ,FAILURE,"9,914","10,764","4,574",Sierra Blanca,TX,The Security State Bank of Pecos,31.174573,-105.357176
"HAMILTON BANK, NATIONAL ASSOCIATION",24382,4650,"MIAMI, FL",1/11/2002,BIF,PI ,N ,FAILURE,"1,298,731","1,409,496","101,748",Miami,FL,Israel Discount Bank of New York,25.76168,-80.19179
SINCLAIR NATIONAL BANK,34248,4649,"GRAVETTE, AR",9/7/2001,BIF,PI ,N ,FAILURE,"26,054","29,792","4,206",Gravette,AR,Delta Trust & Bank,36.422021,-94.453548
"SUPERIOR BANK, FSB",32646,6004,"HINSDALE, IL",7/27/2001,SAIF,PI*,SB ,FAILURE,"1,609,501","1,765,455","286,673",Hinsdale,IL,"Superior Federal, FSB",41.800864,-87.937005
MALTA NATIONAL BANK,6629,4648,"MALTA, OH",5/3/2001,BIF,PA ,N ,FAILURE,"8,728","9,075",769,Malta,OH,North Valley Bank,39.649238,-81.86208
FIRST ALLIANCE BANK AND TRUST CO,34264,4647,"MANCHESTER, NH",2/2/2001,BIF,PA ,NM ,FAILURE,"16,931","17,438",817,Manchester,NH,Southern New Hampshire Bank & Trust,42.99564,-71.454789
NATIONAL STATE BANK OF METROPOLIS,3815,4646,"METROPOLIS, IL",12/14/2000,BIF,PI ,N ,FAILURE,"71,277","90,397","2,670",Metropolis,IL,Banterra Bank of Marion,37.151165,-88.731998
BANK OF HONOLULU,21029,4645,"HONOLULU, HI",10/13/2000,BIF,PI ,NM ,FAILURE,"59,037","63,890",400,Honolulu,HI,Bank of the Orient,21.306944,-157.858333
