Institution Name,Cert,FIN,Location,Effective Date,Ins. Fund,Transaction Type,Charter Class,Failure / Assistance,Total Deposits,Total Assets,Estimated Loss,City,ST,Acquiring Institution,lat,lng
SAN DIEGO NATIONAL BANK,23594,10135,"SAN DIEGO, CA",10/30/2009,DIF,PA ,N ,FAILURE,"2,891,576","3,594,544","92,094",San Diego,CA,U.S. Bank N.A.,32.715738,-117.161084
CITIZENS NATIONAL BANK,25222,10141,"TEAGUE, TX",10/30/2009,DIF,PA ,N ,FAILURE,"97,590","118,236","8,517",Teague,TX,U.S. Bank N.A.,31.627115,-96.283862
BANK OF ELMWOOD,18321,10132,"RACINE, WI",10/23/2009,DIF,PA ,SM ,FAILURE,"272,782","327,444","99,463",Racine,WI,Tri City National Bank,42.726131,-87.782852
FLAGSHIP NATIONAL BANK,35044,10129,"BRADENTON, FL",10/23/2009,DIF,PA ,N ,FAILURE,"170,118","177,563","62,112",Bradenton,FL,First Federal Bank of Florida,27.498928,-82.574819
PARTNERS BANK,57959,10130,"NAPLES, FL",10/23/2009,DIF,PA ,SB ,FAILURE,"64,798","65,498","31,809",Naples,FL,Stonegate Bank,26.142036,-81.79481
HILLCREST BANK FLORIDA,58336,10131,"NAPLES, FL",10/23/2009,DIF,PA ,NM ,FAILURE,"83,254","82,774","43,715",Naples,FL,Stonegate Bank,26.142036,-81.79481
RIVERVIEW COMMUNITY BANK,57525,10133,"OSTEGO, MN",10/23/2009,DIF,PA ,NM ,FAILURE,"75,012","99,057","23,983",Otsego,MN,Central Bank,45.274131,-93.591350
AMERICAN UNITED BANK,57794,10127,"LAWRENCEVILLE, GA",10/23/2009,DIF,PA ,NM ,FAILURE,"102,386","110,094","44,097",Lawrenceville,GA,Ameris Bank,33.956215,-83.987962
FIRST DUPAGE BANK,35038,10128,"WESTMONT, IL",10/23/2009,DIF,PA ,NM ,FAILURE,"253,992","262,093","86,947",Westmont,IL,First Midwest Bank,41.795864,-87.975617
SAN JOAQUIN BANK,23266,10126,"BAKERSFIELD, CA",10/16/2009,DIF,PA ,SM ,FAILURE,"626,359","766,359","81,106",Bakersfield,CA,Citizens Business Bank,35.373292,-119.018712
JENNINGS STATE BANK,11416,10124,"SPRING GROVE, MN",10/2/2009,DIF,PA ,NM ,FAILURE,"50,801","52,347","19,113",Spring Grove,MN,Central Bank,43.56108,-91.635979
SOUTHERN COLORADO NATIONAL BANK,57263,10123,"PUEBLO, CO",10/2/2009,DIF,PA ,N ,FAILURE,"29,568","37,142","8,323",Pueblo,CO,Legacy Bank,38.254447,-104.609141
WARREN BANK,34824,10125,"WARREN, MI",10/2/2009,DIF,PA ,SM ,FAILURE,"467,767","504,816","224,417",Warren,MI,The Huntington National Bank,42.514457,-83.014653
GEORGIAN BANK,57151,10122,"ATLANTA, GA",9/25/2009,DIF,PA ,NM ,FAILURE,"1,960,123","2,230,230","964,821",Atlanta,GA,"First Citizens Bank and Trust Company, Inc.",33.748995,-84.387982
IRWIN UNION BANK AND TRUST COMPANY,10100,10120,"COLUMBUS, IN",9/18/2009,DIF,PA ,SM ,FAILURE,"2,254,025","2,839,747","765,284",Columbus,IN,"First Financial Bank, N.A.",39.20144,-85.92138
"IRWIN UNION BANK, FSB",57068,10121,"LOUISVILLE, KY",9/18/2009,DIF,PA ,SB ,FAILURE,"462,611","518,151","117,339",Louisville,KY,"First Financial Bank, N.A.",38.252665,-85.758456
